index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
216,52.0,-60.0,0.41867141891622245,91.59242767932419,79.18382141739262,85.38812439577073,27.889221499176713,14.53807276360455,21.213647427029944,13.35114902167468,209.8468103176996,164.5305755787963,187.18869722071196,174.92448243816824,91.1920247256068,133.05825533664762,0.28200000000000003,0.9,6,10,5,13,12,13,3,4,3,46,13,10,11,3,4,3,47,36
427,54.0,-40.0,0.533650435737121,97.20390383005055,85.86806551479589,91.53598482501141,27.96687065599755,15.651052180616169,21.80896096054326,12.315818360940614,224.68873295350875,178.62084539136674,201.65479069831662,175.4264807428565,98.20103583461837,136.81375859391585,0.252,0.47500000000000003,7,20,12,25,24,24,4,9,7,38,30,20,24,4,9,7,42,19
7,54.0,-80.0,0.3691023300005881,86.33111923315533,73.01877426248582,79.6749453745292,28.180101013351415,14.224964790826924,21.20253330263244,13.955136298818362,198.95167602767822,152.99986603031024,175.97577026605546,176.73123474223715,89.20006164849357,132.96564453325556,0.294,0.55,7,1,1,4,3,4,5,2,3,50,2,2,2,5,2,3,49,22
72,58.0,-74.0,0.571085964973415,90.49149691180594,78.44512820429918,84.46831393134313,29.199434744298973,16.977271439027422,23.088353282398035,12.222163648594226,206.17684697573216,166.49866584532498,186.3377582415839,183.12658329054437,106.45882822344412,144.79270880875072,0.20400000000000001,0.325,9,3,14,11,11,11,16,15,15,37,9,11,10,16,15,15,34,13
96,64.0,-72.0,0.5473564426937831,88.9997744388433,77.18753963371158,83.09365596816221,29.197060381555133,16.726350906668635,22.961705758552533,12.47070970376822,204.4705419086147,163.9437547746432,184.20714467952172,183.10889091128865,104.8854825985192,143.99718919630777,0.20400000000000001,0.225,12,4,13,8,9,8,16,14,14,39,7,9,8,16,14,14,34,9
337,42.0,-48.0,0.6939673306437149,103.98516895314785,92.13545519197143,98.06031085186044,28.3521009630661,17.282373229663527,22.817236905629947,11.069728191167222,230.01610940305494,191.96861785014943,210.99236484731057,177.8847374252997,108.45153566000984,143.1681376107687,0.228,1.225,1,16,19,39,35,37,7,16,14,29,36,30,32,7,16,14,38,49
330,70.0,-50.0,0.7875606509118219,94.01076964578971,83.69028014208234,88.85052489393641,30.209366224851877,19.042547604846007,24.62595634264435,11.16681804780137,217.97692259203762,179.42506406585312,198.70099790658284,189.47404479135443,119.43128660493095,154.4526702757794,0.192,1.075,15,15,23,18,20,19,24,22,23,30,22,21,21,24,22,23,32,43
92,56.0,-72.0,0.45803875742227806,89.20659087831257,76.65449645647706,82.93054595621334,28.516311491806885,15.408674580873416,21.96249313170756,13.107637063521375,204.7732153250734,161.13961729964416,182.95641722788628,178.84378295199423,96.63130491557025,137.73754271307845,0.264,1.075,8,4,8,9,8,8,8,8,8,44,7,7,7,8,8,8,44,43
324,58.0,-50.0,0.8488622948068287,99.40808828000047,88.82234912447306,94.11521992293925,29.960131741402442,19.37174259220726,24.665936861629312,10.58838888216687,223.9822965600543,188.70822665676673,206.34525733595154,187.92285755149658,121.49654334212558,154.7096989209335,0.156,0.4,9,15,25,29,29,29,22,24,23,26,29,27,28,22,24,23,26,16
359,44.0,-46.0,0.6218642749366164,102.59927096100748,90.69044924864767,96.64486224105745,28.02683109726653,16.476420489019183,22.251625678701647,11.55041060824735,228.94236119413847,188.206975168582,208.57466833395048,175.8424930088908,103.40339255066857,139.6229456026536,0.246,1.2000000000000002,2,17,16,36,32,34,4,13,10,33,35,27,30,4,13,10,41,48
