index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
277,48.0,-54.0,0.5433618846364372,85.91459608,76.32003865,81.11731695,29.129021230000003,12.27946679,20.70424353,16.849554689999998,212.7309477,169.73458820000002,191.2327619,185.5874449,86.55260935000001,136.0700308,0.186,0.0,4,13,13,22,23,23,4,10,6,37,17,20,19,4,10,6,31,1
29,56.0,-78.0,0.4535149952730371,78.84078,67.665335,73.253056,29.672493199999998,11.7961538,20.7343238,17.8763404,205.395498,153.408896,179.4022,188.786766,84.2952692,136.541012,0.27,0.65,8,1,3,6,4,5,9,6,7,46,7,3,4,9,6,7,45,26
43,42.0,-76.0,0.4721513027316378,82.19040299999999,69.6721472,75.93127439999999,29.1136598,11.9872428,20.550451600000002,17.126416600000002,211.946018,156.504978,184.225498,185.319328,84.91094799999999,135.115142,0.3,0.875,1,2,6,13,8,11,4,7,5,39,16,6,10,4,8,5,50,35
213,46.0,-60.0,0.6897354638390673,87.3185012,76.77129744,82.04490200000001,29.83091076,14.30606468,22.068487239999996,15.524845560000001,217.1901768,171.99002280000002,194.59009759999998,189.80822840000002,98.39638556,144.10230959999998,0.192,0.75,3,10,20,25,24,25,11,19,18,29,24,22,23,11,20,18,32,30
144,76.0,-68.0,0.7033953042307317,80.65158681999999,71.16881031999999,75.91019715,31.08268917,15.04248342,23.062586,16.040205510000003,207.6035207,163.22500820000002,185.4142615,197.835978,102.3965774,150.11627470000002,0.186,0.875,18,6,21,10,11,10,28,22,24,32,10,14,12,28,22,24,31,35
403,48.0,-42.0,0.9202378591482644,95.31323179636364,85.28878964,90.30101204145454,30.140219234545455,15.756737361090911,22.94847812181818,14.383482039636364,231.43186747636366,191.06831854545456,211.25009230181823,191.96904637454543,107.81353922254546,149.89129063272728,0.156,0.6000000000000001,4,19,29,45,44,45,15,25,23,22,42,39,41,15,26,24,26,24
87,46.0,-72.0,0.4796729292535665,81.90926137,70.11730800400001,76.01328458,29.261047958,11.909499982,20.585273887999996,17.351547986,210.18157482000004,158.18032268,184.18094811999998,186.2661379,85.10167848399999,135.68390912,0.234,0.2,3,4,7,13,9,11,5,7,5,41,13,8,10,5,8,5,39,8
357,40.0,-46.0,0.6205191122036505,91.64548587142858,81.21211662285715,86.42880275714288,28.779558077142855,12.887065791428572,20.833312384285716,15.89249209357143,223.47190958571431,179.36405875714289,201.41798555714288,183.41109247142862,90.23061987142859,136.82085150285715,0.192,0.125,1,17,17,36,34,35,2,13,8,31,32,29,30,2,14,8,32,5
409,60.0,-42.0,0.5479772615750588,84.57758988,76.0178313,80.29771459999999,29.49324226,12.377928140000002,20.93558522,17.115314419999997,218.190656,169.9611156,194.0758926,187.7832956,86.2219769,137.0026354,0.294,1.125,10,19,13,19,22,21,7,10,9,39,25,20,22,7,10,8,49,45
428,56.0,-40.0,0.6135628061858543,85.62570799999999,76.26033,80.94301999999999,29.6685976,13.272345399999999,21.4704722,16.3962522,213.69315799999998,171.05900400000002,192.376084,189.136916,91.8910392,140.513982,0.258,0.0,8,20,17,22,23,22,9,15,13,34,19,21,20,9,15,14,43,1
266,68.0,-56.0,0.5151339669785973,79.485867392,70.69279364799999,75.089329328,30.01659452,12.505473848000001,21.261033935999997,17.511120808,206.39438031999995,159.73980072,183.06709039999998,191.1618704,86.79073944,138.97630072,0.228,0.30000000000000004,14,12,11,7,10,9,13,11,11,43,8,10,9,13,11,11,38,12
249,76.0,-58.0,0.7420518424710172,81.81216679733333,72.66963658,77.24090173066666,31.109672220000004,15.243613984000001,23.176642660666662,15.866057333666665,210.0927686933333,166.7439383066667,188.41835538,198.04262877333335,103.77989679333334,150.91126157999997,0.18,0.8,18,11,22,13,15,14,29,23,25,31,13,17,16,29,23,25,30,32
104,80.0,-72.0,0.890245617058669,83.486990704,73.94236566400001,78.714679136,31.7675292,16.885497248,24.32651344,14.882031312000002,212.482496,171.27313623999999,191.87781768000002,202.14368136000002,114.24858048000002,158.19613184,0.14400000000000002,0.8500000000000001,20,4,28,17,18,17,35,30,32,25,17,21,20,35,30,31,24,34
341,50.0,-48.0,0.453677872063316,85.585317016,75.91365712,80.74948544,28.723884888,11.044738736,19.884311888,17.679146543999998,218.40042208,168.30544400000002,193.35293632000003,182.8406,78.88701144,130.86381152,0.28800000000000003,1.0250000000000001,5,16,3,21,22,22,2,1,1,44,25,19,21,2,1,1,48,41
309,70.0,-52.0,0.6211225880155156,81.452720228,72.49816935999999,76.97544336,30.362336327999998,13.768148252,22.0652419,16.594189072,207.88264016,164.37394116000002,186.12829203999996,193.39744631999997,94.44333019199999,143.92038972,0.162,0.05,15,14,17,12,14,13,19,17,18,35,10,15,13,19,17,18,27,2
407,56.0,-42.0,0.6466762473364998,87.3156864,78.30733948000001,82.8115172,29.50850544,13.1923201,21.35041346,16.31618566,219.4934818,176.1147378,197.8041082,188.02924499999997,92.22486528,140.1270526,0.28800000000000003,0.125,8,19,18,25,28,26,7,14,12,34,27,26,26,7,15,13,48,5
370,66.0,-46.0,0.5145037761116362,80.93683716000001,72.5861007,76.76146997800001,29.727650848,12.23055777,20.97910418,17.497092678,210.42123024,163.65715344,187.03919467999998,189.36246844,85.24609353,137.30428372,0.246,0.225,13,17,11,11,15,13,9,9,9,43,14,14,14,10,8,8,41,9
254,44.0,-56.0,0.9384901085051329,92.60361074400001,82.04258971200001,87.32310086800001,30.508806072,16.517609332,23.513207408,13.991197172,225.633309,185.57727272,205.60529812,194.15952412000001,112.782019888,153.47076564000002,0.138,0.6000000000000001,2,12,30,38,36,37,21,28,27,19,35,34,34,21,29,27,23,24
69,52.0,-74.0,0.7000505573765956,83.90605679199999,73.28339826400001,78.594726936,30.371262076,14.872038188,22.621649771999998,15.499223656000002,212.47921272,166.16946683999998,189.32433844000002,193.18503052,101.653832736,147.41943076,0.192,1.225,6,3,20,18,16,17,19,22,21,29,17,17,17,18,22,21,32,49
303,58.0,-52.0,0.4323122790694884,81.435888,72.067108,76.75149640000001,29.1813536,10.978232599999998,20.0797932,18.2031216,211.977984,161.73276,186.855378,185.70030400000002,78.6153696,132.157836,0.3,1.25,9,14,1,12,13,13,4,1,2,48,16,12,14,4,1,2,50,50
438,76.0,-40.0,0.8196918377718336,84.02070080000001,75.54312840799999,79.781913992,31.139352019999997,15.681892296,23.410622051999997,15.457459704,215.53244036,173.69066256,194.61155344000002,198.3459682,106.3308464,152.33841,0.17400000000000002,0.8500000000000001,18,20,25,18,21,20,29,25,26,29,21,24,23,29,25,26,29,34
